slide_id,tss,stain_condition,lab_distance_to_template,template_source
TCGA-A7-A13G-01Z-00-DX1.C258C545-8C1F-41D4-846F-962A746CBDFB,A7,raw,72.73827378738282,macenko_target_image
TCGA-A7-A13H-01Z-00-DX1.FCB33A3C-6209-474C-83C1-02551F242937,A7,raw,62.209841348342096,macenko_target_image
TCGA-A7-A26E-01Z-00-DX1.BA4A7E28-0563-4C23-82D0-AB34A2E79AE3,A7,raw,73.9505484797416,macenko_target_image
TCGA-A7-A26F-01Z-00-DX1.7ADE881D-325D-48ED-BA2D-30F589CA8EF2,A7,raw,97.32062865202252,macenko_target_image
TCGA-A7-A26G-01Z-00-DX1.29A27673-A16D-4044-BCCF-14BF6236D7D3,A7,raw,51.88896724414065,macenko_target_image
TCGA-A7-A26H-01Z-00-DX1.3344CFD3-5A19-4B01-BEB2-AB89F83FD53A,A7,raw,79.25813264231692,macenko_target_image
TCGA-A7-A26I-01Z-00-DX1.0077D012-BC14-4E96-84F7-A1A6A3A778DF,A7,raw,98.34217345191341,macenko_target_image
TCGA-A7-A26J-01Z-00-DX1.86A92FBD-F346-4206-A1BE-0CBA1596135F,A7,raw,89.74653172331186,macenko_target_image
TCGA-A7-A2KD-01Z-00-DX1.BFF2DFC8-1D95-4DC2-98FC-5BD7D7C6CDF5,A7,raw,85.61481723691175,macenko_target_image
TCGA-A7-A3IY-01Z-00-DX1.B4E75265-3B2A-456C-996A-F95B5A645BF8,A7,raw,55.987103835549604,macenko_target_image
TCGA-A7-A3IZ-01Z-00-DX1.7437130B-DF49-40C8-ABCD-FF9364B9B1B0,A7,raw,76.95726549978588,macenko_target_image
TCGA-A7-A3J0-01Z-00-DX1.59DB32BC-F59C-43B3-8DDD-4A728EBA8AB8,A7,raw,61.473121602534064,macenko_target_image
TCGA-A7-A3J1-01Z-00-DX1.92895B92-5F95-4EA3-9237-4CAF63CDE3FF,A7,raw,60.338061169694,macenko_target_image
TCGA-A7-A3RF-01Z-00-DX1.E60647BC-229D-4409-A564-EE0945F912EE,A7,raw,62.67310059689876,macenko_target_image
TCGA-A7-A425-01Z-00-DX1.812A94B1-0403-4298-A6C5-F71AFD3A9995,A7,raw,24.359604668456004,macenko_target_image
TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,A7,raw,60.70672236114183,macenko_target_image
TCGA-A7-A4SA-01Z-00-DX1.B48FFD3E-9B45-4CEA-ACEE-5B08058CCF5F,A7,raw,43.521861305851054,macenko_target_image
TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,A7,raw,51.06330841677793,macenko_target_image
TCGA-A7-A4SC-01Z-00-DX1.171E89D2-2D64-4C3F-A42C-B1167654858B,A7,raw,15.499344682182656,macenko_target_image
TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831,A7,raw,89.79634453886254,macenko_target_image
TCGA-A7-A4SE-01Z-00-DX1.16BC8401-E40E-4A1A-9BD9-12735C9AE3F6,A7,raw,73.69537111439743,macenko_target_image
